flux_low_X,flux_low_Y,flux_high_X,flux_high_Y
2.372727273,-9.430555556,2.372727273,-8.722222222
2.877272727,-9.958333333,2.502272727,-8.930555556
3.204545455,-10.31944444,2.938636364,-9.625
3.286363636,-10.41666667,3.163636364,-9.944444444
3.375,-10.54166667,3.429545455,-10.30555556
3.531818182,-10.77777778,3.634090909,-10.55555556
3.790909091,-11.20833333,3.859090909,-10.81944444
4.036363636,-11.61111111,4.2,-11.20833333
4.315909091,-12.09722222,4.315909091,-11.31944444
